,Compound Score,Date,Negative Score,Neutral Score,News Organization,Positive Score,Tweets Ago
61,0.0,Mon Jul 30 13:04:41 +0000 2018,0.0,1.0,@BBCWorld,0.0,61
62,-0.8689,Mon Jul 30 12:51:00 +0000 2018,0.353,0.647,@BBCWorld,0.0,62
63,-0.6249,Mon Jul 30 12:33:10 +0000 2018,0.406,0.594,@BBCWorld,0.0,63
64,0.0,Mon Jul 30 12:30:29 +0000 2018,0.0,1.0,@BBCWorld,0.0,64
65,0.0,Mon Jul 30 12:20:25 +0000 2018,0.0,1.0,@BBCWorld,0.0,65
66,-0.7003,Mon Jul 30 11:54:29 +0000 2018,0.392,0.608,@BBCWorld,0.0,66
67,-0.5106,Mon Jul 30 11:36:47 +0000 2018,0.355,0.645,@BBCWorld,0.0,67
68,-0.6908,Mon Jul 30 11:28:53 +0000 2018,0.388,0.612,@BBCWorld,0.0,68
69,-0.7096,Mon Jul 30 11:18:20 +0000 2018,0.424,0.576,@BBCWorld,0.0,69
70,-0.9231,Mon Jul 30 10:14:32 +0000 2018,0.571,0.429,@BBCWorld,0.0,70
71,0.0,Mon Jul 30 09:10:44 +0000 2018,0.0,1.0,@BBCWorld,0.0,71
72,0.0,Mon Jul 30 09:08:04 +0000 2018,0.0,1.0,@BBCWorld,0.0,72
73,0.2732,Mon Jul 30 09:04:56 +0000 2018,0.0,0.769,@BBCWorld,0.231,73
74,-0.3182,Mon Jul 30 08:59:59 +0000 2018,0.141,0.859,@BBCWorld,0.0,74
75,-0.6486,Mon Jul 30 08:40:52 +0000 2018,0.323,0.677,@BBCWorld,0.0,75
76,-0.296,Mon Jul 30 07:20:46 +0000 2018,0.196,0.804,@BBCWorld,0.0,76
77,0.3818,Mon Jul 30 07:17:25 +0000 2018,0.0,0.867,@BBCWorld,0.133,77
78,-0.6808,Mon Jul 30 07:17:19 +0000 2018,0.217,0.735,@BBCWorld,0.048,78
79,0.0,Mon Jul 30 07:05:02 +0000 2018,0.0,1.0,@BBCWorld,0.0,79
80,-0.4019,Fri Jul 27 16:27:42 +0000 2018,0.252,0.748,@BBCWorld,0.0,80
81,0.1027,Fri Jul 27 16:19:45 +0000 2018,0.0,0.865,@BBCWorld,0.135,81
82,0.3818,Fri Jul 27 15:44:31 +0000 2018,0.0,0.776,@BBCWorld,0.224,82
83,0.0,Fri Jul 27 14:46:26 +0000 2018,0.0,1.0,@BBCWorld,0.0,83
84,0.0,Fri Jul 27 14:38:21 +0000 2018,0.0,1.0,@BBCWorld,0.0,84
85,0.0,Fri Jul 27 14:35:44 +0000 2018,0.0,1.0,@BBCWorld,0.0,85
86,-0.5574,Fri Jul 27 14:32:53 +0000 2018,0.419,0.581,@BBCWorld,0.0,86
87,0.7096,Fri Jul 27 14:27:40 +0000 2018,0.0,0.543,@BBCWorld,0.457,87
88,0.6369,Fri Jul 27 13:59:11 +0000 2018,0.086,0.656,@BBCWorld,0.258,88
89,0.765,Fri Jul 27 13:49:19 +0000 2018,0.0,0.708,@BBCWorld,0.292,89
90,0.6249,Fri Jul 27 13:48:15 +0000 2018,0.0,0.823,@BBCWorld,0.177,90
91,0.1779,Fri Jul 27 13:42:52 +0000 2018,0.0,0.779,@BBCWorld,0.221,91
92,0.3182,Fri Jul 27 13:25:39 +0000 2018,0.0,0.897,@BBCWorld,0.103,92
93,0.0,Fri Jul 27 13:18:35 +0000 2018,0.0,1.0,@BBCWorld,0.0,93
94,-0.4588,Fri Jul 27 13:16:28 +0000 2018,0.267,0.733,@BBCWorld,0.0,94
95,-0.6908,Fri Jul 27 12:34:23 +0000 2018,0.449,0.551,@BBCWorld,0.0,95
96,0.0,Fri Jul 27 12:21:26 +0000 2018,0.0,1.0,@BBCWorld,0.0,96
97,0.0,Fri Jul 27 12:18:31 +0000 2018,0.0,1.0,@BBCWorld,0.0,97
98,-0.802,Fri Jul 27 12:05:10 +0000 2018,0.545,0.455,@BBCWorld,0.0,98
99,0.296,Fri Jul 27 11:28:59 +0000 2018,0.0,0.761,@BBCWorld,0.239,99
100,-0.765,Thu Aug 02 00:25:15 +0000 2018,0.398,0.602,@CBSNews,0.0,0
101,0.3818,Thu Aug 02 00:04:41 +0000 2018,0.16,0.55,@CBSNews,0.29,1
102,-0.7506,Wed Aug 01 23:43:02 +0000 2018,0.314,0.686,@CBSNews,0.0,2
103,-0.1808,Wed Aug 01 23:38:54 +0000 2018,0.19,0.642,@CBSNews,0.168,3
104,0.4854,Wed Aug 01 23:34:21 +0000 2018,0.0,0.821,@CBSNews,0.179,4
